DAY,IRRD,TMIN,TMAX,VAP,WIND,RAIN
20170101,1648.997802734375,-11.174964904785156,-6.369621276855469,0.46867871284484863,3.816941738128662,2.5867743492126465
20170102,1566.67236328125,-11.418750762939453,-6.710344314575195,0.46794191002845764,3.918567419052124,2.6708526611328125
20170103,1478.5408935546875,-11.877885818481445,-6.924396514892578,0.4550185203552246,3.8396825790405273,2.699054002761841
20170104,1802.369140625,-12.134950637817383,-7.172994613647461,0.4398057162761688,3.730515718460083,2.3991124629974365
20170105,1655.5230712890625,-12.039628982543945,-7.235408782958984,0.44667765498161316,3.7620837688446045,2.746628761291504
20170106,1865.79833984375,-12.003456115722656,-7.19361686706543,0.4469616711139679,3.80015230178833,2.6303436756134033
20170107,1608.850830078125,-12.237794876098633,-7.248781204223633,0.4510364234447479,3.925107002258301,2.7875680923461914
20170108,1831.1182861328125,-12.428794860839844,-7.38616943359375,0.4524278938770294,3.9376840591430664,2.825338363647461
20170109,1770.973388671875,-12.666278839111328,-7.717209815979004,0.4517143964767456,4.041219234466553,2.901677370071411
20170110,1705.94970703125,-13.114131927490234,-7.917299270629883,0.43893998861312866,3.9633190631866455,2.9201488494873047
20170111,2053.7802734375,-13.35470199584961,-8.147439002990723,0.4240102767944336,3.8541648387908936,2.6085426807403564
20170112,1931.7984619140625,-13.237483978271484,-8.186718940734863,0.431306391954422,3.884734630584717,2.9425363540649414
20170113,2167.758544921875,-13.173856735229492,-8.116973876953125,0.43216028809547424,3.920768976211548,2.8109612464904785
20170114,1937.269287109375,-13.37506103515625,-8.139257431030273,0.4369547367095947,4.042636394500732,2.9512381553649902
20170115,2186.7197265625,-13.52718734741211,-8.238771438598633,0.43921804428100586,4.051070213317871,2.9705309867858887
20170116,2154.41943359375,-13.720026016235352,-8.526922225952148,0.43952909111976624,4.149413108825684,3.027000904083252
20170117,2117.83984375,-14.11749267578125,-8.679133415222168,0.4279305636882782,4.0652923583984375,3.0243680477142334
20170118,2494.646484375,-14.30201530456543,-8.856468200683594,0.41432616114616394,3.9489190578460693,2.6905908584594727
20170119,2402.09375,-14.123197555541992,-8.838132858276367,0.4230923354625702,3.9713141918182373,3.0015246868133545
20170120,2667.86181640625,-13.99258804321289,-8.70610237121582,0.4255554974079132,3.9982705116271973,2.846189498901367
20170121,2467.46875,-14.121646881103516,-8.661627769470215,0.43209078907966614,4.110220909118652,2.9622044563293457
20170122,2747.2158203125,-14.196723937988281,-8.69015121459961,0.4362179636955261,4.107972145080566,2.9569342136383057
20170123,2745.32421875,-14.307912826538086,-8.90334415435791,0.4385054111480713,4.194950103759766,2.9887495040893555
20170124,2739.16552734375,-14.61948013305664,-8.976947784423828,0.4289848804473877,4.098870277404785,2.9615800380706787
20170125,3146.3056640625,-14.714227676391602,-9.072365760803223,0.41754671931266785,3.9700443744659424,2.603595018386841
20170126,3083.8984375,-14.442195892333984,-8.9691801071167,0.42855384945869446,3.9795970916748047,2.8908588886260986
20170127,3379.515625,-14.215375900268555,-8.749767303466797,0.43331804871559143,3.9934301376342773,2.712599039077759
20170128,3208.57470703125,-14.2457275390625,-8.615821838378906,0.44219908118247986,4.092092514038086,2.8066349029541016
20170129,3517.27099609375,-14.220094680786133,-8.553220748901367,0.4487002491950989,4.0765061378479,2.7805261611938477
20170130,3543.712158203125,-14.229110717773438,-8.674116134643555,0.4533734917640686,4.150216102600098,2.7928287982940674
20170131,3565.1650390625,-14.437583923339844,-8.654722213745117,0.4462336599826813,4.04105806350708,2.747647285461426
20170201,3999.087646484375,-14.428892135620117,-8.656937599182129,0.43715423345565796,3.8994626998901367,2.3733131885528564
20170202,3962.534423828125,-14.053632736206055,-8.460829734802246,0.45048069953918457,3.896670341491699,2.64604115486145
20170203,4282.96728515625,-13.724372863769531,-8.149284362792969,0.4575081765651703,3.8986973762512207,2.4551913738250732
20170204,4135.7099609375,-13.653631210327148,-7.924471855163574,0.46858012676239014,3.986201524734497,2.5387001037597656
20170205,4466.849609375,-13.528829574584961,-7.772764205932617,0.477183997631073,3.9602088928222656,2.504227876663208
20170206,4514.4150390625,-13.44114875793457,-7.8067731857299805,0.48385676741600037,4.024361610412598,2.510411024093628
20170207,4555.5791015625,-13.555927276611328,-7.703157424926758,0.4785986840724945,3.906585216522217,2.4614155292510986
20170208,5007.716796875,-13.457052230834961,-7.6242523193359375,0.4712703227996826,3.7573893070220947,2.0856151580810547
20170209,4987.80517578125,-12.99560546875,-7.350526809692383,0.48620569705963135,3.748086929321289,2.3592443466186523
20170210,5323.240234375,-12.584611892700195,-6.965232849121094,0.49468865990638733,3.7447547912597656,2.171664237976074
20170211,5189.27978515625,-12.437015533447266,-6.67088508605957,0.5070541501045227,3.828099250793457,2.260791301727295
20170212,5531.96337890625,-12.240612030029297,-6.454153060913086,0.5167820453643799,3.799184560775757,2.234243631362915
20170213,5589.26904296875,-12.086917877197266,-6.427907943725586,0.5244032144546509,3.861678123474121,2.250595808029175
20170214,5638.33447265625,-12.14157485961914,-6.269048690795898,0.5199142098426819,3.7435190677642822,2.213933229446411
20170215,6096.51025390625,-11.988704681396484,-6.140066146850586,0.5131732225418091,3.5952165126800537,1.8525285720825195
20170216,6080.7548828125,-11.479597091674805,-5.821569442749023,0.5285135507583618,3.5880706310272217,2.1424968242645264
20170217,6418.4609375,-11.027414321899414,-5.39689826965332,0.5372214913368225,3.5881330966949463,1.9730643033981323
20170218,6284.890625,-10.845195770263672,-5.068601608276367,0.5496346354484558,3.6760714054107666,2.081993579864502
20170219,6626.09814453125,-10.62076187133789,-4.823329925537109,0.5592381954193115,3.6529006958007812,2.0767369270324707
20170220,6680.08984375,-10.445621490478516,-4.773908615112305,0.566570520401001,3.722224235534668,2.1156890392303467
20170221,6724.04052734375,-10.485334396362305,-4.597116470336914,0.5616375207901001,3.6119070053100586,2.102743625640869
20170222,7175.35400390625,-10.323907852172852,-4.455299377441406,0.5543074011802673,3.472374677658081,1.7659714221954346
20170223,7151.04931640625,-9.81243896484375,-4.128866195678711,0.5689264535903931,3.4748318195343018,2.08128023147583
20170224,7478.59228515625,-9.36386489868164,-3.7009048461914062,0.5767946839332581,3.48522686958313,1.9376786947250366
20170225,7333.328125,-9.190937042236328,-3.373689651489258,0.5882651209831238,3.584115743637085,2.072711706161499
20170226,7661.408203125,-8.981164932250977,-3.133554458618164,0.5968400239944458,3.5723931789398193,2.0936102867126465
20170227,7700.9423828125,-8.825672149658203,-3.092954635620117,0.6030753254890442,3.653538465499878,2.1585474014282227
20170228,7729.22412109375,-8.889616012573242,-2.92828369140625,0.5969955325126648,3.555288076400757,2.171196937561035
20170301,8163.783203125,-8.75654411315918,-2.8014755249023438,0.588489294052124,3.42793345451355,1.859415054321289
20170302,8121.77099609375,-8.277082443237305,-2.4924850463867188,0.6019229888916016,3.442544937133789,2.198899507522583
20170303,8430.798828125,-7.86366081237793,-2.0839576721191406,0.6086168885231018,3.464935064315796,2.0784571170806885
20170304,8266.359375,-7.728490829467773,-1.777679443359375,0.6189459562301636,3.5755233764648438,2.2354421615600586
20170305,8574.7646484375,-7.558536529541016,-1.5594902038574219,0.626433253288269,3.5750725269317627,2.276902914047241
20170306,8594.2890625,-7.444353103637695,-1.5413589477539062,0.6316556930541992,3.666931390762329,2.3608458042144775
20170307,8602.392578125,-7.55052375793457,-1.3991851806640625,0.6246586441993713,3.5787103176116943,2.3907923698425293
20170308,9016.775390625,-7.460029602050781,-1.2944107055664062,0.6153507232666016,3.460580825805664,2.094460964202881
20170309,8954.76953125,-7.022912979125977,-1.0065021514892578,0.6281176805496216,3.4835009574890137,2.4474284648895264
20170310,9244.1572265625,-6.651033401489258,-0.6176376342773438,0.6342987418174744,3.5131771564483643,2.3384010791778564
20170311,9060.61328125,-6.556062698364258,-0.3291473388671875,0.6442856192588806,3.6299350261688232,2.5046491622924805
20170312,9350.6259765625,-6.424409866333008,-0.12644386291503906,0.6516175866127014,3.634450674057007,2.5531580448150635
20170313,9352.640625,-6.346132278442383,-0.12109756469726562,0.6568864583969116,3.72999906539917,2.6418917179107666
20170314,9344.29296875,-6.485321044921875,0.011373519897460938,0.650150716304779,3.6441268920898438,2.6743476390838623
20170315,9743.4501953125,-6.424493789672852,0.10987472534179688,0.6413297057151794,3.5269570350646973,2.3782432079315186
20170316,9667.603515625,-6.013282775878906,0.3952198028564453,0.6548190712928772,3.549409866333008,2.7291743755340576
20170317,9944.693359375,-5.663164138793945,0.7855110168457031,0.6619654297828674,3.5771684646606445,2.615886688232422
20170318,9750.541015625,-5.585468292236328,1.0796279907226562,0.6731659173965454,3.6905486583709717,2.7757067680358887
20170319,10031.7666015625,-5.46632194519043,1.2923259735107422,0.6819630861282349,3.690229892730713,2.8157007694244385
20170320,10026.94921875,-5.395534515380859,1.3121681213378906,0.6889497637748718,3.7795052528381348,2.893928050994873
20170321,10013.8369140625,-5.537008285522461,1.4637069702148438,0.6841831207275391,3.6859543323516846,2.913999319076538
20170322,10410.400390625,-5.473117828369141,1.5858650207519531,0.6775797605514526,3.5597445964813232,2.6037631034851074
20170323,10334.2177734375,-5.053417205810547,1.8994407653808594,0.6935291886329651,3.57185435295105,2.9389591217041016
20170324,10613.3076171875,-4.689348220825195,2.322458267211914,0.7033705711364746,3.588038682937622,2.8084917068481445
20170325,10423.5458984375,-4.592264175415039,2.653665542602539,0.7174912691116333,3.6886954307556152,2.9498589038848877
20170326,10711.599609375,-4.44837760925293,2.907644271850586,0.7294217348098755,3.6745994091033936,2.970306634902954
20170327,10716.0751953125,-4.347616195678711,2.972738265991211,0.7397408485412598,3.74914813041687,3.028082847595215
20170328,10714.7275390625,-4.454080581665039,3.1732234954833984,0.7384902834892273,3.6400349140167236,3.026996374130249
20170329,11125.517578125,-4.350383758544922,3.347715377807617,0.7355689406394958,3.4975500106811523,2.695094108581543
20170330,11066.00390625,-3.8863468170166016,3.716655731201172,0.7553474307060242,3.4928019046783447,3.0083210468292236
20170331,11364.154296875,-3.473752975463867,4.197671890258789,0.7691439986228943,3.4916794300079346,2.8557863235473633
20170401,11195.787109375,-3.3243236541748047,4.589090347290039,0.7873243093490601,3.574723243713379,2.975191354751587
20170402,11507.4892578125,-3.1246776580810547,4.905040740966797,0.8033959865570068,3.542850971221924,2.973982572555542
20170403,11537.7666015625,-2.9651927947998047,5.033367156982422,0.8179141283035278,3.599606513977051,3.0106053352355957
20170404,11564.2607421875,-3.0104446411132812,5.297857284545898,0.820895254611969,3.4728291034698486,2.989058017730713
20170405,12004.802734375,-2.8435420989990234,5.536590576171875,0.8222135901451111,3.312955617904663,2.6375691890716553
20170406,11976.798828125,-2.3148422241210938,5.969476699829102,0.8462143540382385,3.2912380695343018,2.932255744934082
20170407,12308.0556640625,-1.8366584777832031,6.513593673706055,0.8641902208328247,3.273707151412964,2.7623863220214844
20170408,12174.21484375,-1.6212806701660156,6.966732025146484,0.8864811062812805,3.341038227081299,2.8658108711242676
20170409,12521.6708984375,-1.3558731079101562,7.342460632324219,0.9065701961517334,3.2942795753479004,2.8501100540161133
20170410,12588.724609375,-1.1313858032226562,7.5280914306640625,0.9249876141548157,3.337097644805908,2.8738462924957275
20170411,12652.8017578125,-1.1129493713378906,7.846874237060547,0.931726336479187,3.1974480152130127,2.8411195278167725
20170412,13131.5087890625,-0.8842239379882812,8.136394500732422,0.9366376399993896,3.0258708000183105,2.4802446365356445
20170413,13142.01953125,-0.296112060546875,8.616050720214844,0.9640448689460754,2.9937148094177246,2.7674055099487305
20170414,13511.8994140625,0.23855972290039062,9.202476501464844,0.9852204322814941,2.967094659805298,2.591919183731079
20170415,13416.5400390625,0.5070114135742188,9.693004608154297,1.0104854106903076,3.02675724029541,2.6916675567626953
20170416,13802.0888671875,0.82159423828125,10.100814819335938,1.0333051681518555,2.973811626434326,2.6742422580718994
20170417,13906.5927734375,1.0909271240234375,10.312850952148438,1.0541945695877075,3.0119712352752686,2.6981990337371826
20170418,14007.2236328125,1.14947509765625,10.652046203613281,1.0631330013275146,2.8692233562469482,2.6676154136657715
20170419,14521.337890625,1.4132080078125,10.9556884765625,1.0699594020843506,2.6961300373077393,2.3107621669769287
20170420,14565.8544921875,2.030914306640625,11.44295883178711,1.0989878177642822,2.6640453338623047,2.603762626647949
20170421,14968.099609375,2.5894699096679688,12.03030014038086,1.1214830875396729,2.639075994491577,2.4358599185943604
20170422,14903.2275390625,2.8758697509765625,12.514904022216797,1.1477609872817993,2.701948881149292,2.544842481613159
20170423,15317.150390625,3.2022857666015625,12.909870147705078,1.17128324508667,2.6537373065948486,2.538196086883545
20170424,15447.6953125,3.477191925048828,13.102108001708984,1.1925638914108276,2.6981074810028076,2.5743582248687744
20170425,15571.826171875,3.5349769592285156,13.414566040039062,1.2015836238861084,2.562988042831421,2.557272434234619
20170426,16106.703125,3.7915802001953125,13.684612274169922,1.2081849575042725,2.3988687992095947,2.2150683403015137
20170427,16169.0634765625,4.3957977294921875,14.131542205810547,1.236687183380127,2.377020835876465,2.523719549179077
20170428,16586.0625,4.934581756591797,14.671974182128906,1.2583625316619873,2.363459587097168,2.372307777404785
20170429,16532.705078125,5.195045471191406,15.103336334228516,1.2835358381271362,2.4388084411621094,2.4984569549560547
20170430,16954.771484375,5.489524841308594,15.438980102539062,1.3056812286376953,2.404031753540039,2.5094852447509766
20170501,17089.9765625,5.726718902587891,15.566143035888672,1.3253254890441895,2.4626781940460205,2.563657522201538
20170502,17215.1953125,5.741264343261719,15.808128356933594,1.3324633836746216,2.3425533771514893,2.564744472503662
20170503,17747.501953125,5.949394226074219,16.002696990966797,1.3369543552398682,2.194018602371216,2.2407054901123047
20170504,17803.591796875,6.500255584716797,16.369586944580078,1.3631348609924316,2.1882145404815674,2.567343235015869
20170505,18210.5859375,6.981166839599609,16.82586669921875,1.382295846939087,2.1910219192504883,2.43357515335083
20170506,18143.482421875,7.179656982421875,17.169464111328125,1.4047819375991821,2.282930612564087,2.5768673419952393
20170507,18548.078125,7.408485412597656,17.414257049560547,1.4240875244140625,2.2647695541381836,2.604384660720825
20170508,18662.12109375,7.576808929443359,17.448001861572266,1.4407601356506348,2.3399548530578613,2.674247980117798
20170509,18762.537109375,7.519737243652344,17.594562530517578,1.4448164701461792,2.2361621856689453,2.690096139907837
20170510,19266.494140625,7.654010772705078,17.692264556884766,1.4461373090744019,2.1036267280578613,2.3797647953033447
20170511,19290.77734375,8.129268646240234,17.961406707763672,1.4690805673599243,2.113368034362793,2.718946933746338
20170512,19662.630859375,8.533340454101562,18.319637298583984,1.4849592447280884,2.1311516761779785,2.596463918685913
20170513,19557.1953125,8.65426254272461,18.56543731689453,1.5041393041610718,2.2373597621917725,2.749697208404541
20170514,19920.421875,8.805309295654297,18.713245391845703,1.5201348066329956,2.232722282409668,2.7857422828674316
20170515,19990.234375,8.896137237548828,18.651378631591797,1.5335146188735962,2.3205642700195312,2.862668514251709
20170516,20043.759765625,8.762351989746094,18.704219818115234,1.5343140363693237,2.2284798622131348,2.88407564163208
20170517,20498.3671875,8.821151733398438,18.71059799194336,1.532431960105896,2.1066346168518066,2.577775239944458
20170518,20471.06640625,9.222652435302734,18.891307830810547,1.552243709564209,2.1259870529174805,2.919454336166382
20170519,20789.330078125,9.555103302001953,19.164447784423828,1.5650776624679565,2.152254581451416,2.797940969467163
20170520,20628.546875,9.606948852539062,19.32892608642578,1.5813144445419312,2.265782594680786,2.9506402015686035
20170521,20934.921875,9.691841125488281,19.399566650390625,1.5944817066192627,2.267274856567383,2.9846856594085693
20170522,20946.640625,9.719776153564453,19.26504898071289,1.6051586866378784,2.3600432872772217,3.058196783065796
20170523,20941.087890625,9.526676177978516,19.250064849853516,1.6033910512924194,2.2716798782348633,3.0748374462127686
20170524,21335.90234375,9.530017852783203,19.193714141845703,1.599085807800293,2.152359962463379,2.762497663497925
20170525,21248.369140625,9.880130767822266,19.317028045654297,1.6166250705718994,2.1730620861053467,3.0969526767730713
20170526,21506.228515625,10.165470123291016,19.538284301757812,1.6273415088653564,2.1995363235473633,2.967127561569214
20170527,21285.130859375,10.174636840820312,19.656536102294922,1.6416194438934326,2.312168836593628,3.1105363368988037
20170528,21531.55078125,10.221378326416016,19.686710357666016,1.6529868841171265,2.311716318130493,3.134427070617676
20170529,21483.923828125,10.215782165527344,19.51752471923828,1.662023901939392,2.40155029296875,3.1970412731170654
20170530,21419.892578125,9.993782043457031,19.47366714477539,1.6587735414505005,2.3093318939208984,3.2021703720092773
20170531,21757.330078125,9.972846984863281,19.394237518310547,1.6531391143798828,2.185312271118164,2.8778347969055176
20170601,21613.748046875,10.303253173828125,19.50015640258789,1.6694979667663574,2.200554370880127,3.1999404430389404
20170602,21817.111328125,10.573375701904297,19.70958709716797,1.6791770458221436,2.2208945751190186,3.057549238204956
20170603,21543.267578125,10.571666717529297,19.821422576904297,1.6925519704818726,2.326813220977783,3.188305616378784
20170604,21738.876953125,10.611736297607422,19.85039520263672,1.703142523765564,2.319161891937256,3.199589252471924
20170605,21642.5546875,10.603458404541016,19.684982299804688,1.7115185260772705,2.401411533355713,3.249769687652588
20170606,21532.0859375,10.382545471191406,19.649635314941406,1.7077122926712036,2.301323652267456,3.242760419845581
20170607,21825.486328125,10.366218566894531,19.58312225341797,1.701615810394287,2.1692488193511963,2.9066975116729736
20170608,21640.3828125,10.704475402832031,19.70606231689453,1.7175939083099365,2.176349639892578,3.2175981998443604
20170609,21804.830078125,10.985393524169922,19.936279296875,1.7269601821899414,2.1885604858398438,3.064624309539795
20170610,21494.763671875,10.997112274169922,20.072311401367188,1.7400774955749512,2.2864553928375244,3.185512065887451
20170611,21656.892578125,11.052913665771484,20.128494262695312,1.7504522800445557,2.2709782123565674,3.1877243518829346
20170612,21529.861328125,11.06231689453125,19.992935180664062,1.7586396932601929,2.3456859588623047,3.2297000885009766
20170613,21391.482421875,10.860702514648438,19.989673614501953,1.75465989112854,2.2384209632873535,3.2154123783111572
20170614,21659.7578125,10.864936828613281,19.957088470458984,1.748390793800354,2.0996084213256836,2.873046398162842
20170615,21452.2890625,11.224662780761719,20.115386962890625,1.7641842365264893,2.100478410720825,3.1786532402038574
20170616,21597.087890625,11.527595520019531,20.381996154785156,1.7733405828475952,2.1070265769958496,3.0214171409606934
20170617,21270.01953125,11.561553955078125,20.55504608154297,1.7862114906311035,2.199878692626953,3.1390857696533203
20170618,21417.712890625,11.639457702636719,20.648494720458984,1.796291470527649,2.1800224781036377,3.139117956161499
20170619,21278.716796875,11.670520782470703,20.55007553100586,1.804125189781189,2.251051425933838,3.179938554763794
20170620,21130.716796875,11.489810943603516,20.58344268798828,1.7997227907180786,2.1408324241638184,3.165494203567505
20170621,21391.59375,11.51388931274414,20.58664321899414,1.7929532527923584,1.9998095035552979,2.823930501937866
20170622,21178.79296875,11.892131805419922,20.779563903808594,1.8081600666046143,1.9992210865020752,3.1312496662139893
20170623,21320.177734375,12.212013244628906,21.079307556152344,1.816637635231018,2.0050621032714844,2.976576805114746
20170624,20991.4375,12.261100769042969,21.283721923828125,1.8287304639816284,2.097949981689453,3.0975894927978516
20170625,21139.02734375,12.352123260498047,21.406513214111328,1.8379290103912354,2.078855037689209,3.1016685962677
20170626,21001.296875,12.39410400390625,21.33517074584961,1.8447743654251099,2.151344060897827,3.1471545696258545
20170627,20855.751953125,12.221961975097656,21.393146514892578,1.8392736911773682,2.043252944946289,3.1379010677337646
20170628,21120.060546875,12.252128601074219,21.418304443359375,1.8312944173812866,1.9049856662750244,2.8019566535949707
20170629,20911.4765625,12.63388442993164,21.63037109375,1.8451800346374512,1.9077340364456177,3.1152219772338867
20170630,21057.65234375,12.95461654663086,21.94631576538086,1.852225422859192,1.9174418449401855,2.9667165279388428
20170701,20734.07421875,13.001853942871094,22.163909912109375,1.8627763986587524,2.014669895172119,3.0940120220184326
